19 	 68062 	 68073 	 2 	 6 	 STR_653577
19 	 70198 	 70211 	 1 	 14 	 STR_653578
19 	 72470 	 72568 	 2 	 49.5 	 STR_653579
19 	 73329 	 73342 	 1 	 14 	 STR_653580
19 	 75059 	 75073 	 1 	 15 	 STR_653581
19 	 75130 	 75150 	 1 	 21 	 STR_653582
19 	 77093 	 77116 	 4 	 6 	 STR_653583
19 	 77961 	 77973 	 1 	 13 	 STR_653584
19 	 81518 	 81532 	 4 	 3.75 	 STR_653585
19 	 85408 	 85423 	 1 	 16 	 STR_653586
19 	 86447 	 86487 	 4 	 10.25 	 STR_653587
19 	 88014 	 88027 	 1 	 14 	 STR_653588
19 	 91121 	 91146 	 1 	 26 	 STR_653589
19 	 92094 	 92119 	 2 	 13 	 STR_653590
19 	 92177 	 92232 	 5 	 11.2 	 STR_653591
19 	 93471 	 93483 	 1 	 13 	 STR_653592
19 	 96324 	 96392 	 4 	 17.25 	 STR_653593
19 	 98941 	 98955 	 4 	 3.75 	 STR_653594
19 	 103438 	 103455 	 1 	 18 	 STR_653595
19 	 103810 	 103838 	 2 	 14.5 	 STR_653596
19 	 107745 	 108218 	 2 	 237 	 STR_653597
19 	 112764 	 112774 	 1 	 11 	 STR_653598
19 	 113435 	 113448 	 1 	 14 	 STR_653599
19 	 115437 	 115451 	 1 	 15 	 STR_653600
19 	 118769 	 118790 	 1 	 22 	 STR_653601
19 	 123727 	 123740 	 1 	 14 	 STR_653602
19 	 123800 	 123815 	 2 	 8 	 STR_653603
19 	 125404 	 125599 	 4 	 49 	 STR_653604
19 	 125655 	 125665 	 1 	 11 	 STR_653605
19 	 128904 	 128916 	 2 	 6.5 	 STR_653606
19 	 132599 	 132621 	 5 	 4.6 	 STR_653607
19 	 138418 	 138433 	 1 	 16 	 STR_653608
19 	 139031 	 139042 	 1 	 12 	 STR_653609
19 	 139712 	 139842 	 2 	 65.5 	 STR_653610
19 	 141013 	 141029 	 5 	 3.4 	 STR_653611
19 	 141150 	 141168 	 3 	 6.33333 	 STR_653612
19 	 141932 	 141946 	 1 	 15 	 STR_653613
19 	 144196 	 144226 	 6 	 5.16667 	 STR_653614
19 	 146881 	 146892 	 1 	 12 	 STR_653615
19 	 163243 	 163270 	 1 	 28 	 STR_653616
19 	 164120 	 164135 	 2 	 8 	 STR_653617
19 	 164287 	 164302 	 4 	 4 	 STR_653618
19 	 167152 	 167169 	 1 	 18 	 STR_653619
19 	 173227 	 173245 	 1 	 19 	 STR_653620
19 	 175733 	 175754 	 2 	 11 	 STR_653621
19 	 176404 	 176429 	 2 	 13 	 STR_653622
19 	 181293 	 181309 	 2 	 8.5 	 STR_653623
19 	 183424 	 183438 	 1 	 15 	 STR_653624
19 	 185253 	 185283 	 2 	 15.5 	 STR_653625
19 	 186977 	 187000 	 1 	 24 	 STR_653626
19 	 190727 	 190742 	 1 	 16 	 STR_653627
19 	 191809 	 191822 	 1 	 14 	 STR_653628
19 	 192415 	 192430 	 1 	 16 	 STR_653629
19 	 196198 	 196226 	 1 	 29 	 STR_653630
19 	 197299 	 197321 	 6 	 3.83333 	 STR_653631
19 	 204079 	 204097 	 4 	 4.75 	 STR_653632
19 	 208544 	 208564 	 5 	 4.2 	 STR_653633
19 	 209907 	 209950 	 2 	 22 	 STR_653634
19 	 210262 	 210276 	 1 	 15 	 STR_653635
19 	 212414 	 212425 	 1 	 12 	 STR_653636
19 	 212815 	 212855 	 3 	 13.6667 	 STR_653637
19 	 215059 	 215078 	 1 	 20 	 STR_653638
19 	 215833 	 215868 	 5 	 7.2 	 STR_653639
19 	 216856 	 216871 	 1 	 16 	 STR_653640
19 	 218199 	 218210 	 1 	 12 	 STR_653641
19 	 221229 	 221243 	 1 	 15 	 STR_653642
19 	 221370 	 221388 	 5 	 3.8 	 STR_653643
19 	 221654 	 221665 	 1 	 12 	 STR_653644
19 	 222482 	 222495 	 1 	 14 	 STR_653645
19 	 224372 	 224407 	 2 	 18 	 STR_653646
19 	 225846 	 225860 	 1 	 15 	 STR_653647
19 	 227554 	 227648 	 4 	 23.75 	 STR_653648
19 	 227661 	 227717 	 4 	 14.25 	 STR_653649
19 	 227728 	 227772 	 5 	 9 	 STR_653650
19 	 229188 	 229202 	 1 	 15 	 STR_653651
19 	 229503 	 229527 	 5 	 5 	 STR_653652
19 	 230047 	 230068 	 1 	 22 	 STR_653653
19 	 230661 	 230683 	 1 	 23 	 STR_653654
19 	 232508 	 232530 	 4 	 5.75 	 STR_653655
19 	 234147 	 234165 	 6 	 3.16667 	 STR_653656
19 	 235034 	 235052 	 5 	 3.8 	 STR_653657
19 	 235235 	 235251 	 1 	 17 	 STR_653658
19 	 240177 	 240199 	 1 	 23 	 STR_653659
19 	 240349 	 240371 	 1 	 23 	 STR_653660
19 	 240471 	 240486 	 2 	 8 	 STR_653661
19 	 240879 	 240924 	 1 	 46 	 STR_653662
19 	 241648 	 241676 	 5 	 5.8 	 STR_653663
19 	 243760 	 243783 	 4 	 6 	 STR_653664
19 	 243969 	 244003 	 4 	 8.75 	 STR_653665
19 	 245537 	 246002 	 6 	 77.6667 	 STR_653666
19 	 249035 	 249045 	 1 	 11 	 STR_653667
19 	 250820 	 250843 	 6 	 4 	 STR_653668
19 	 258579 	 258611 	 1 	 33 	 STR_653669
19 	 259465 	 259477 	 1 	 13 	 STR_653670
19 	 260239 	 260249 	 1 	 11 	 STR_653671
19 	 260492 	 260511 	 1 	 20 	 STR_653672
19 	 261529 	 261540 	 1 	 12 	 STR_653673
19 	 261688 	 261706 	 1 	 19 	 STR_653674
19 	 262538 	 262554 	 3 	 5.66667 	 STR_653675
19 	 263508 	 263527 	 3 	 6.66667 	 STR_653676
19 	 263821 	 263836 	 1 	 16 	 STR_653677
19 	 266078 	 266088 	 1 	 11 	 STR_653678
19 	 267223 	 267252 	 5 	 6 	 STR_653679
19 	 267969 	 267991 	 5 	 4.6 	 STR_653680
19 	 269018 	 269037 	 5 	 4 	 STR_653681
19 	 271759 	 271782 	 6 	 4 	 STR_653682
19 	 272239 	 272300 	 2 	 31 	 STR_653683
19 	 272636 	 272659 	 1 	 24 	 STR_653684
19 	 272751 	 272771 	 1 	 21 	 STR_653685
19 	 274375 	 274397 	 1 	 23 	 STR_653686
19 	 274606 	 274627 	 1 	 22 	 STR_653687
19 	 274787 	 274814 	 1 	 28 	 STR_653688
